,
19995,7.5
597,7.9
24428,7.7
12445,8.1
122,8.5
38356,6.1
49026,7.8
58,7.3
10193,7.8
1865,6.5
1893,6.5
12155,6.6
155,8.5
671,7.9
285,7.2
12444,7.8
8587,8.3
675,7.7
767,7.7
121,8.4
329,7.9
809,7.2
674,7.8
559,6.3
8355,6.7
57800,6.3
672,7.7
120,8.4
12,7.8
1895,7.4
8373,6.1
27205,8.4
602,6.8
557,7.2
11,8.2
810,6.3
673,8
217,6
558,7.2
14161,5.8
591,6.7
601,7.5
1930,6.6
10192,6.3
411,7.1
604,7
14160,7.9
18239,6
1858,6.7
50619,6.2
