,
821,8.1
4176,7.2
22584,7.5
12584,7.2
289,8.2
963,7.8
17538,6.4
26185,6.1
21717,6.9
18972,6.2
17529,7.5
44264,7.3
6644,7.4
16211,7.1
15263,6.6
11697,7.8
11385,6.6
11897,7.1
301,7.9
3109,7.3
49849,5.5
38357,6.3
27569,6.2
15577,6.1
85,7.9
89,7.8
87,7.3
217,6
9754,5.8
11375,5.2
8665,6.4
2655,6.4
12618,5.4
6068,6
4477,6.1
9772,6.4
11860,6.1
9331,6.6
5503,7.4
9869,6.7
11364,6.6
11092,6.8
3525,6.6
10675,6.7
9281,7.1
11,8.2
1891,8.4
1892,7.9
78,7.9
838,7.1
33668,6.4
671,7.9
672,7.7
673,8
674,7.8
675,7.7
767,7.7
12444,7.8
12445,8.1
981,7.7
