,,,
76163,The Expendables 2,"[28, 12, 53]","Mr. Church reunites the Expendables for what should be an easy paycheck, but when one of their men is murdered on the job, their quest for revenge puts them deep in enemy territory and up against an unexpected threat."
82525,Savages,"[80, 18, 53]",Pot growers Ben and Chon face off against the Mexican drug cartel who kidnapped their shared girlfriend.
1930,The Amazing Spider-Man,"[28, 12, 14]","Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero."
77930,Magic Mike,"[18, 35]","Mike, an experienced stripper, takes a younger performer called The Kid under his wing and schools him in the arts of partying, picking up women, and making easy money."
77953,The Campaign,[35],Two rival politicians compete to win an election to represent their small North Carolina congressional district in the United States House of Representatives.
84355,Your Sister's Sister,[35],"Iris invites her friend Jack to stay at her family's island getaway after the death of his brother. At their remote cabin, Jack's drunken encounter with Hannah, Iris' sister, kicks off a revealing stretch of days."
103332,Ruby Sparks,"[35, 10749, 14, 18]","Calvin is a young novelist who achieved phenomenal success early in his career but is now struggling with his writing – as well as his romantic life. Finally, he makes a breakthrough and creates a character named Ruby who inspires him. When Calvin finds Ruby, in the flesh, sitting on his couch about a week later, he is completely flabbergasted that his words have turned into a living, breathing person."
73567,Killer Joe,"[80, 53, 18, 27]",A cop who moonlights as a hit man agrees to kill the hated mother of a desperate drug dealer in exchange for a tumble with the young man's virginal sister.
81836,To Rome with Love,"[10749, 35, 18]","Four tales unfold in the Eternal City: While vacationing in Rome, architect John encounters a young man whose romantic woes remind him of a painful incident from his own youth; retired opera director Jerry discovers a mortician with an amazing voice, and he seizes the opportunity to rejuvenate his own flagging career; a young couple have separate romantic interludes; a spotlight shines on an ordinary man."
88005,Seeking a Friend for the End of the World,"[35, 18, 10749, 878]","As an asteroid nears Earth, a man finds himself alone after his wife leaves in a panic. He decides to take a road trip to reunite with his high school sweetheart. Accompanying him is a neighbor who inadvertently puts a wrench in his plan."
84332,Safety Not Guaranteed,"[35, 10749, 878, 18]",Three magazine employees head out on an assignment to interview a guy who placed a classified ad seeking a companion for time travel.
83770,On the Road,"[12, 18]","Dean and Sal are the portrait of the Beat Generation. Their search for ""It"" results in a fast paced, energetic roller coaster ride with highs and lows throughout the U.S."
80321,Madagascar 3: Europe's Most Wanted,"[16, 10751, 35, 12]","Animal pals Alex, Marty, Melman, and Gloria are still trying to make it back to New York's Central Park Zoo. They are forced to take a detour to Europe to find the penguins and chimps who broke the bank at a Monte Carlo casino. When French animal-control officer Capitaine Chantel DuBois picks up their scent, Alex and company are forced to hide out in a traveling circus."
80215,Indie Game: The Movie,[99],"Follows the dramatic journeys of video game developers as they create and release their games to the world. It's about making video games, but at its core, it's about the creative process, and exposing yourself through your work."
65330,The Prodigy: World's On Fire,[10402],"Recorded before 65,000 fans, World’s On Fire is the debut live film documenting The Prodigy’s Warrior's Dance festival from The National Bowl at Milton Keynes on July 24th, 2010."
