,
23761,6.4
40952,5.9
9445,6.6
37618,6
19204,6.9
111007,4.3
16938,7
9599,6.7
58864,6
40221,4.9
27814,6.7
18256,6.3
21588,6.9
13550,7
12619,5.2
30421,7.3
27230,5.3
11655,6.7
10722,7.3
8408,7
38996,6.4
40448,5.6
65899,6.3
1702,5.7
9457,6.1
71853,4.4
9568,5.7
39844,5.9
1433,7.3
38706,6.2
24341,6.4
8413,6.5
11587,6.2
14510,6.6
10234,7.3
9871,6.8
11309,5.9
28377,5.6
10692,6.7
19236,7.1
32613,6.3
29343,5.8
25239,5.9
11850,7.2
99092,5.2
41959,5.3
26198,5.7
30315,5.4
11347,5.9
15516,5.9
16180,6.8
31596,6.2
25627,6.3
16154,6.4
67515,5.2
11454,7
27346,6.4
28090,5.8
30924,5.9
14929,5.7
48787,6.4
32998,6.1
12238,5.8
18462,6.3
15762,6.7
622,6.4
26725,5
1902,7.5
20115,6.7
35280,6.6
41965,6.8
41966,6.5
48309,5.9
24777,5.7
26515,6.3
29437,6.5
99749,6
10212,6.8
30694,6.2
9102,6.2
69870,5.7
10972,6.1
48921,5.2
22307,6.7
25155,6.5
11601,6.7
40041,5.7
17918,5.4
34098,5.5
37601,6.1
28177,5.7
40961,5.9
54800,4.7
8740,7.5
44340,4.7
45964,6.2
27336,4.8
40258,6.2
133535,5
1448,5.9
5486,6.7
