,
539,8.4
578,7.6
9552,7.7
213,8
274,8.3
348,8.1
571,7.5
1051,7.6
805,7.8
85,7.9
238,8.7
244,7.6
475,7.5
567,8.4
10669,7.3
829,7.9
982,7.7
426,8.2
5925,8
288,7.7
185,8.2
103,8.2
947,8
996,8.2
597,7.9
963,7.8
11,8.2
10998,6.8
694,8.2
11778,8
840,7.4
845,7.7
5503,7.4
3112,7.9
329,7.9
916,7.2
289,8.2
303,7.8
562,7.7
62,8.1
984,7.5
218,7.6
630,7.6
601,7.5
857,8.2
7340,7.3
11549,7.5
521,8
665,7.8
10518,7.3
1578,8
1366,7.8
680,8.5
642,7.6
11206,7.4
3035,7.5
891,7.7
826,7.8
871,7.6
745,7.9
11349,7.5
967,7.6
10242,8
1480,7.8
1654,7.6
603,8.2
3090,8
948,7.6
576,7.7
968,7.8
658,7.4
792,7.7
1939,7.7
78,7.9
1092,8
1541,7.6
280,8.1
13528,7.5
966,7.6
223,7.9
794,7.4
828,7.5
964,7.2
609,7.1
138,7.2
16559,7.1
10785,6.8
389,8.5
10911,7.4
551,7.2
197,7.9
14412,7.1
10331,7.7
988,7.2
600,8.1
793,7.7
22596,7.9
11368,7.3
1637,7.1
10907,7.5
